timestamp,program,background,song_title,song_artist,taste_text,genres,participant_id,genres_list,background_list
8/11/2026 9:37:05,Staff,Education,Choosin’ Texas,Ella Langley,Bittersweet,Country,p0c226c57,['Country'],['Education']
8/11/2026 9:37:06,MS in LS,English/Spanish,Detonator,Detox Unit,"Wobbly, funky, bouncy and silly","Electronic, Latin, Other",pc575b56b,"['Electronic', 'Latin', 'Other']",['English/Spanish']
8/11/2026 9:37:08,CHIP MS,Microbiology,The Let Out,J. Cole,It’s a good driving song and hypes me up.,"Pop, Indie Rock, R&B, Hip-hop",p72fafbaa,"['Pop', 'Indie Rock', 'R&B', 'Hip-hop']",['Microbiology']
8/11/2026 9:37:21,PhD in ILS,Economics,Joyride,Kesha,Energized and pumped up,"Pop, Folk, Jazz, Country, Rock",p5e7cddbb,"['Pop', 'Folk', 'Jazz', 'Country', 'Rock']",['Economics']
8/11/2026 9:37:22,MS in LS,Psychology and Studio Art,Human Being,Anna Vaus,"Reassured, calmed, seen","Pop, Folk, Other",p485c0ff8,"['Pop', 'Folk', 'Other']","['Psychology', 'Studio Art']"
8/11/2026 9:37:26,MS in IS,Computer Science and Information Science,Heat Waves,Glass Animals,"It makes me feel nostalgic for when I used to drive around and listen to it with my best friend (who moved away), but also happy.","Pop, Hip-hop",p40befc22,"['Pop', 'Hip-hop']","['Computer Science', 'Information Science']"
8/11/2026 9:37:35,MS in LS,"English, Secondary Education ",Loser,Tame Impala,Like life can throw obstacles at you but persevere is key,"Pop, Metal, Classical, Rock",p130cc6aa,"['Pop', 'Metal', 'Classical', 'Rock']","['English', 'Secondary Education']"
8/11/2026 9:37:37,MS in LS,History,Disco Snails,Vulfmon,"Funky, silly, & ready to disco","Pop, Folk, Indie Rock, Rock",p3cf7aa17,"['Pop', 'Folk', 'Indie Rock', 'Rock']",['History']
8/11/2026 9:37:38,MS in LS,History at Amherst College ,OLD TECHNOLOGY,Slayyyter,It makes me feel raucous and gnarly and electric.,"Pop, Indie Rock, Other",p64ad0e27,"['Pop', 'Indie Rock', 'Other']",['History at Amherst College']
8/11/2026 9:37:39,CHIP MS,"Pre med undergrad (many years ago), I’m a current 5th year neurosurgery resident",Conquer the World,The Dreggs,Light and happy,Folk,pf921f4cc,['Folk'],"['Pre med undergrad (many years ago)', 'I’m a current 5th year neurosurgery resident']"
8/11/2026 9:37:43,CHIP MS,Exercise and Sports Science ,Saltwater,Geowulf,Warm and summery,"Pop, Metal, Folk, Electronic, Indie Rock, R&B, Country, Hip-hop, Rock",p7aedccee,"['Pop', 'Metal', 'Folk', 'Electronic', 'Indie Rock', 'R&B', 'Country', 'Hip-hop', 'Rock']","['Exercise', 'Sports Science']"
8/11/2026 9:37:44,MS in LS,Business Marketing,Hanging Out to Dry,Florence Road,This song makes me feel refreshed and energized,"Pop, Folk, Indie Rock, R&B, Country, Hip-hop, Rock",p0cd1a4f6,"['Pop', 'Folk', 'Indie Rock', 'R&B', 'Country', 'Hip-hop', 'Rock']",['Business Marketing']
8/11/2026 9:37:46,CHIP MS,"Biomedical sciences major, Anthropology minor",Losing You,Solange,Feels like a fresh start,"Pop, Electronic, Indie Rock, R&B, Country, Hip-hop, Rock",p8eea3ef8,"['Pop', 'Electronic', 'Indie Rock', 'R&B', 'Country', 'Hip-hop', 'Rock']","['Biomedical sciences major', 'Anthropology minor']"
8/11/2026 9:37:50,MS in LS,3D Digital Graphics and Psychology of Human Interaction,Carry on Wayward Son,Kansas,"Awake, ready to take on the world, and a little ridiculous",Rock,p58e19ff5,['Rock'],"['3D Digital Graphics', 'Psychology of Human Interaction']"
8/11/2026 9:37:53,CHIP MS,Bachelor in Health Informatics at Nova Southeastern University ,Self Aware,Temper City,If makes me feel like I am going with the flow,"Pop, Folk, Indie Rock, Rock",p3b10ff06,"['Pop', 'Folk', 'Indie Rock', 'Rock']",['Bachelor in Health Informatics at Nova Southeastern University']
8/11/2026 9:37:54,MS in LS,Media Studies,happens,Elbi Lewes,Forlorn,"Pop, Folk, Indie Rock, Other",p0e3cc79f,"['Pop', 'Folk', 'Indie Rock', 'Other']",['Media Studies']
8/11/2026 9:37:55,MS in IS,Gender Studies and Biology,I Follow You,Melody Echo Chamber,"Lightweight, ethereal, floaty","Pop, Electronic, Indie Rock",p0bbad405,"['Pop', 'Electronic', 'Indie Rock']","['Gender Studies', 'Biology']"
8/11/2026 9:37:57,MS in LS,History at YSU,Old Religion,Florence and the Machine,Nostalgic and powerful,"Pop, Folk, Indie Rock",p20cc4ae4,"['Pop', 'Folk', 'Indie Rock']",['History at YSU']
8/11/2026 9:37:59,Faculty,Electrical Engineering ,Free Bird,Lynard!,Happy!,Other,p0734f0b8,['Other'],['Electrical Engineering']
8/11/2026 9:38:00,MS in LS,"BA Anthropology and Educational Studies, Macalester College",Heya,Clozee,Like I want to dance,"Classical, Folk, Latin",pc307eef5,"['Classical', 'Folk', 'Latin']","['BA Anthropology', 'Educational Studies', 'Macalester College']"
8/11/2026 9:38:06,MS in LS,Studio Art and Education ,Patience,Tame Impala,Nostalgic,"Pop, Indie Rock, R&B, Rock",p1151fc59,"['Pop', 'Indie Rock', 'R&B', 'Rock']","['Studio Art', 'Education']"
8/11/2026 9:38:11,MS in LS,"William & Mary, English",Andromeda,Weyes Blood,alien,"Folk, Indie Rock",pb1287bf7,"['Folk', 'Indie Rock']","['William & Mary', 'English']"
8/11/2026 9:38:12,MS in LS,History & Poli-Sci,Own Little World,Celldweller,Pumped up,"Metal, Folk, Other",p167ac088,"['Metal', 'Folk', 'Other']",['History & Poli-Sci']
8/11/2026 9:38:20,MS in LS,BA in English,Francis Forever,Mitski,This songs feels like laying in the sun on a warm summer day.,Indie Rock,p67eb4144,['Indie Rock'],['BA in English']
8/11/2026 9:38:21,PhD in DS,Finance,Never gonna give you up,Rick Ashley,Toxic,"Pop, Classical, Rock",p7db4ddaf,"['Pop', 'Classical', 'Rock']",['Finance']
8/11/2026 9:38:27,MS in LS,Political Science & Environmental Impact and Sustainability ,Sense (is),Hemlock Springs,It makes me want to move and create things.,"Pop, Folk, Jazz, Electronic, Indie Rock, Rock, Other",pdd1d7a12,"['Pop', 'Folk', 'Jazz', 'Electronic', 'Indie Rock', 'Rock', 'Other']","['Political Science & Environmental Impact', 'Sustainability']"
8/11/2026 9:38:26,CHIP MS,Data Analytics at University of Michigan,Saturn,SZA,"It makes me feel relaxed, happy, and chill","Pop, Reggaeton, R&B, Latin",p74772e4d,"['Pop', 'Reggaeton', 'R&B', 'Latin']",['Data Analytics at University of Michigan']
8/11/2026 9:38:37,MS in IS,"UNC CH, BSIS and BA in English",Whatever You Wanna,Annabelle Dinda,"Reminds me of my time at the concert where she opened, or excited and slightly nostalgic.","Pop, Folk, Indie Rock",pd6f3ad2b,"['Pop', 'Folk', 'Indie Rock']","['UNC CH', 'BSIS', 'BA in English']"
8/11/2026 9:38:40,MS in DS,Statistics,White Horse,Taylor Swift,Calm,Pop,pfaf232d9,['Pop'],['Statistics']
8/11/2026 9:38:44,MS in LS,Computer Science,Nice to Each Other,Olivia Dean,Giddy and energetic,"Pop, Folk, Indie Rock, R&B",p1a742355,"['Pop', 'Folk', 'Indie Rock', 'R&B']",['Computer Science']
8/11/2026 9:38:47,Faculty,Math,Come what may,Nicole,Loved,"Pop, Classical",p2508307d,"['Pop', 'Classical']",['Math']
