position,participant_id,requested_title,requested_artist,mood,neighborhood,spotify_search_url,youtube_search_url
63,p7db4ddaf,Never gonna give you up,Rick Ashley,,"home, calm, days",https://open.spotify.com/search/Never%20gonna%20give%20you%20up%20Rick%20Ashley,https://www.youtube.com/results?search_query=Never%20gonna%20give%20you%20up%20Rick%20Ashley
64,p2508307d,Come what may,Nicole,,"home, calm, days",https://open.spotify.com/search/Come%20what%20may%20Nicole,https://www.youtube.com/results?search_query=Come%20what%20may%20Nicole
66,p117447db,FIFA 2026 song,Shakira,,"home, calm, days",https://open.spotify.com/search/FIFA%202026%20song%20Shakira,https://www.youtube.com/results?search_query=FIFA%202026%20song%20Shakira
68,pc575b56b,Detonator,Detox Unit,,"home, calm, days",https://open.spotify.com/search/Detonator%20Detox%20Unit,https://www.youtube.com/results?search_query=Detonator%20Detox%20Unit
