timestamp,program,background,song_title,song_artist,taste_text,"In a sentence, describe how this song makes you feel .1",participant_id,background_list
8/11/2026 9:38:00,MS in LS,"BA Anthropology and Educational Studies, Macalester College",Heya,Clozee,Like I want to dance,Like I want to dance,pc307eef5,"['BA Anthropology', 'Educational Studies', 'Macalester College']"
8/11/2026 9:38:06,MS in LS,Studio Art and Education ,Patience,Tame Impala,Nostalgic,Nostalgic ,p1151fc59,"['Studio Art', 'Education']"
8/11/2026 9:38:11,MS in LS,"William & Mary, English",Andromeda,Weyes Blood,alien,alien,pb1287bf7,"['William & Mary', 'English']"
8/11/2026 9:38:12,MS in LS,History & Poli-Sci,Own Little World,Celldweller,Pumped up,Pumped up,p167ac088,['History & Poli-Sci']
8/11/2026 9:38:20,MS in LS,BA in English,Francis Forever,Mitski,This songs feels like laying in the sun on a warm summer day.,This songs feels like laying in the sun on a warm summer day.,p67eb4144,['BA in English']
8/11/2026 9:38:21,PhD in DS,Finance,Never gonna give you up,Rick Ashley,Toxic,Toxic,p7db4ddaf,['Finance']
8/11/2026 9:38:27,MS in LS,Political Science & Environmental Impact and Sustainability ,Sense (is),Hemlock Springs,It makes me want to move and create things.,It makes me want to move and create things. ,pdd1d7a12,"['Political Science & Environmental Impact', 'Sustainability']"
8/11/2026 9:38:26,CHIP MS,Data Analytics at University of Michigan,Saturn,SZA,"It makes me feel relaxed, happy, and chill","It makes me feel relaxed, happy, and chill ",p74772e4d,['Data Analytics at University of Michigan']
8/11/2026 9:38:37,MS in IS,"UNC CH, BSIS and BA in English",Whatever You Wanna,Annabelle Dinda,"Reminds me of my time at the concert where she opened, or excited and slightly nostalgic.","Reminds me of my time at the concert where she opened, or excited and slightly nostalgic.",pd6f3ad2b,"['UNC CH', 'BSIS', 'BA in English']"
8/11/2026 9:38:40,MS in DS,Statistics,White Horse,Taylor Swift,Calm,Calm,pfaf232d9,['Statistics']
8/11/2026 9:38:44,MS in LS,Computer Science,Nice to Each Other,Olivia Dean,Giddy and energetic,Giddy and energetic,p1a742355,['Computer Science']
8/11/2026 9:38:47,Faculty,Math,Come what may,Nicole,Loved,Loved,p2508307d,['Math']
8/11/2026 9:39:01,CHIP MS,Genetics ,Mist,Esdeekid Rico Ace,"This song is definitely energizing in a way, hypes you up for the long day.","This song is definitely energizing in a way, hypes you up for the long day. ",p3c12a33a,['Genetics']
8/11/2026 9:39:07,CHIP MS,BA in Biological Sciences ,Lost in Paradise,Rihanna,Hyped up,Hyped up ,p48256cab,['BA in Biological Sciences']
8/11/2026 9:39:20,MS in DS,Statistics ,As,Stevie Wonder,fun,fun,pf4d35249,['Statistics']
8/11/2026 9:39:24,MS in LS,Computational Biology,Notting Hill,Suki Waterhouse,"makes me feel happy and hopeful, it’s silly and bright","makes me feel happy and hopeful, it’s silly and bright",p69d87d7e,['Computational Biology']
8/11/2026 9:39:26,MS in DS,B.E ,FIFA 2026 song,Shakira,Jolly,Jolly,p117447db,['B.E']
8/11/2026 9:39:52,MS in DS,Biology,Don’t Believe It,John Summit,Energetic and ready to move,Energetic and ready to move,pb9882f23,['Biology']
8/11/2026 22:41:59,PhD in DS,Statistics major from University of Waterloo,Strategy,Olivia Marsh,"Just sounds good, easy to remember","Pop, Folk, Country",p5240b619,['Statistics major from University of Waterloo']
