position,participant_id,requested_title,requested_artist,mood,neighborhood,spotify_search_url,youtube_search_url,matched_title,matched_artist,album,release_year,duration_ms,genre,apple_url,preview_url,artwork
1,pd3cba91f,Oil and Water,Incubus,,"empowered, empowered empowered, missing old",https://open.spotify.com/search/Oil%20and%20Water%20Incubus,https://www.youtube.com/results?search_query=Oil%20and%20Water%20Incubus,Oil and Water,Incubus,Light Grenades,2006,229722,Rock,https://music.apple.com/us/album/oil-and-water/204285054?i=204285428&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/42/72/bf/4272bf5f-6845-a12b-891d-500d8e9c4d57/mzaf_1522925787048003930.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/39/d6/b9/39d6b928-3782-0463-3108-5ba555039995/828768385227.jpg/300x300bb.jpg
2,pb143aff5,Gangsta'a Paradise,Coolio,,"empowered, empowered empowered, missing old",https://open.spotify.com/search/Gangsta%27a%20Paradise%20Coolio,https://www.youtube.com/results?search_query=Gangsta%27a%20Paradise%20Coolio,Gangsta's Paradise (feat. L.V.) [2023 Remaster],Coolio,Gangsta's Paradise (Deluxe Edition),1995,241013,Hip-Hop/Rap,https://music.apple.com/us/album/gangstas-paradise-feat-l-v-2023-remaster/1605189366?i=1605189373&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/56/58/f7/5658f7ec-2bb5-0ef0-0f9f-5adcd1a96363/mzaf_7433975646947882823.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c2/23/0b/c2230b5f-e753-e9b0-c032-b9ea0713450f/016998513262.png/300x300bb.jpg
3,p8454e16a,Rolling in the Deep,Adele,,"empowered, empowered empowered, missing old",https://open.spotify.com/search/Rolling%20in%20the%20Deep%20Adele,https://www.youtube.com/results?search_query=Rolling%20in%20the%20Deep%20Adele,Rolling in the Deep,Adele,21,2010,228093,Pop,https://music.apple.com/us/album/rolling-in-the-deep/1544491232?i=1544491233&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/9f/07/1d/9f071dc7-791c-c869-dfa2-06b25936a287/mzaf_11077490630806345321.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/eb/ca/25/ebca2596-cd1e-b295-91a3-771c868d0a79/191404113868.png/300x300bb.jpg
4,p0c1c6965,Under Pressure,Queen and David Bowie,,"proud, excited proud, excited",https://open.spotify.com/search/Under%20Pressure%20Queen%20and%20David%20Bowie,https://www.youtube.com/results?search_query=Under%20Pressure%20Queen%20and%20David%20Bowie,Under Pressure,Queen & David Bowie,Best of Bowie,1981,237520,Pop,https://music.apple.com/us/album/under-pressure/697650603?i=697651445&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/88/ed/d2/88edd28f-7aa9-fc46-4ddb-0c4e9a5fd7b2/mzaf_7010235254143732396.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Features115/v4/fc/65/98/fc6598f9-706b-48a2-dc37-9854f703b21e/dj.xnockfyi.jpg/300x300bb.jpg
5,pb34bd36f,Hark the Sound,UNC,,"proud, excited proud, excited",https://open.spotify.com/search/Hark%20the%20Sound%20UNC,https://www.youtube.com/results?search_query=Hark%20the%20Sound%20UNC,Hark the Sound,The Clef Hangers,Sounds of Carolina,2018,152883,Traditional Pop,https://music.apple.com/us/album/hark-the-sound/1445924277?i=1445924290&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/33/03/89/330389d6-4cb3-5589-e763-a66be74315dd/mzaf_16181549791322005286.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/d7/12/72/d71272ef-9cce-196c-0c16-de99ce9b657a/9d1965d3-ac89-4fad-9cfd-309d4695feb1.jpg/300x300bb.jpg
6,p066d80a1,Home,Myles Smith,,"proud, excited proud, excited",https://open.spotify.com/search/Home%20Myles%20Smith,https://www.youtube.com/results?search_query=Home%20Myles%20Smith,Solo,Myles Smith,Solo - Single,2023,199756,Singer/Songwriter,https://music.apple.com/us/album/solo/1729366468?i=1729366472&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b4/30/40/b430403c-a563-50d2-2110-37eaf8d073af/mzaf_3514747294235909250.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/42/59/10/425910f2-133a-0d33-e086-796e635aa260/196871822480.jpg/300x300bb.jpg
